date,user_id,picture_of_baby
30/05/2018,test_user_2@test.com,0
11/02/2018,test_user_2@test.com,0
15/05/2018,test_user_2@test.com,0
21/06/2018,test_user_2@test.com,0
08/01/2018,test_user_2@test.com,1
28/03/2018,test_user_2@test.com,1
11/01/2018,test_user_2@test.com,1
01/03/2018,test_user_2@test.com,0
25/02/2018,test_user_3@test.com,1
13/04/2018,test_user_3@test.com,0
14/07/2018,test_user_3@test.com,0
14/01/2018,test_user_3@test.com,0
19/05/2018,test_user_3@test.com,1
06/07/2018,test_user_3@test.com,1
04/01/2018,test_user_3@test.com,0
20/03/2018,test_user_3@test.com,1
07/01/2018,test_user_3@test.com,0
10/04/2018,test_user_3@test.com,0
16/03/2018,test_user_3@test.com,0
08/04/2018,test_user_3@test.com,0
05/03/2018,test_user_3@test.com,0
08/04/2018,test_user_3@test.com,0
14/03/2018,test_user_3@test.com,0
15/05/2018,test_user_3@test.com,0
16/05/2018,test_user_3@test.com,1
30/03/2018,test_user_3@test.com,0
29/07/2018,test_user_3@test.com,0
07/06/2018,test_user_3@test.com,0
21/06/2018,test_user_3@test.com,0
20/05/2018,test_user_3@test.com,1
10/07/2018,test_user_3@test.com,1
13/04/2018,test_user_3@test.com,0
27/02/2018,test_user_3@test.com,0
04/05/2018,test_user_3@test.com,0
03/03/2018,test_user_3@test.com,0
26/07/2018,test_user_3@test.com,0
02/03/2018,test_user_3@test.com,1
14/05/2018,test_user_3@test.com,0
02/02/2018,test_user_4@test.com,0
08/04/2018,test_user_4@test.com,0
26/05/2018,test_user_4@test.com,1
07/04/2018,test_user_4@test.com,0
03/06/2018,test_user_4@test.com,1
31/05/2018,test_user_4@test.com,0
21/05/2018,test_user_4@test.com,0
11/07/2018,test_user_4@test.com,1
01/05/2018,test_user_4@test.com,0
21/02/2018,test_user_4@test.com,0
27/06/2018,test_user_4@test.com,0
17/02/2018,test_user_4@test.com,1
05/07/2018,test_user_4@test.com,1
28/05/2018,test_user_4@test.com,1
27/07/2018,test_user_4@test.com,0
04/04/2018,test_user_4@test.com,1
07/02/2018,test_user_4@test.com,1
06/02/2018,test_user_4@test.com,0
12/06/2018,test_user_4@test.com,0
07/07/2018,test_user_4@test.com,0
18/01/2018,test_user_4@test.com,1
30/03/2018,test_user_4@test.com,1
16/04/2018,test_user_4@test.com,0
08/07/2018,test_user_4@test.com,0
28/06/2018,test_user_4@test.com,1
10/01/2018,test_user_4@test.com,1
20/07/2018,test_user_4@test.com,1
23/04/2018,test_user_4@test.com,1
22/07/2018,test_user_4@test.com,0
27/05/2018,test_user_4@test.com,1
27/04/2018,test_user_5@test.com,0
23/03/2018,test_user_5@test.com,1
04/05/2018,test_user_5@test.com,1
07/03/2018,test_user_5@test.com,0
21/03/2018,test_user_5@test.com,1
23/05/2018,test_user_5@test.com,0
14/05/2018,test_user_5@test.com,0
25/02/2018,test_user_5@test.com,1
08/01/2018,test_user_5@test.com,0
18/02/2018,test_user_5@test.com,0
19/06/2018,test_user_5@test.com,1
14/07/2018,test_user_5@test.com,0
25/07/2018,test_user_5@test.com,1
21/06/2018,test_user_5@test.com,0
19/03/2018,test_user_5@test.com,1
07/01/2018,test_user_5@test.com,1
31/05/2018,test_user_5@test.com,0
20/03/2018,test_user_5@test.com,0
24/03/2018,test_user_5@test.com,0
22/03/2018,test_user_5@test.com,0
15/02/2018,test_user_5@test.com,0
19/04/2018,test_user_5@test.com,0
27/06/2018,test_user_5@test.com,0
21/03/2018,test_user_5@test.com,0
06/07/2018,test_user_5@test.com,1
21/04/2018,test_user_5@test.com,1
19/01/2018,test_user_5@test.com,1
17/06/2018,test_user_5@test.com,1
15/07/2018,test_user_5@test.com,0
16/05/2018,test_user_5@test.com,1
